STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",07-04-2010,8.72,1547,1537,0,0,0,,87,52,240,240,0,21.9,25.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",08-04-2010,13.87,1614,1524,0,0,0,,69,53,180,180,0,33.1,44.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",09-04-2010,13.2,2338,2329,0.41,0,0,,62,46,310,300,0,29.1,36.9,1,,,,1,,,,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10-04-2010,17,20,747,0,0,0,,62,42,310,310,0,30,36.9,,,,,,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",11-04-2010,12.75,1644,1947,0,0,0,,73,46,270,350,0,21,25.9,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",12-04-2010,8.72,1509,1201,0,0,0,,67,46,320,340,0,21,29.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",13-04-2010,6.04,1553,933,0,0,0,,55,45,200,140,0,10.1,16.1,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",14-04-2010,9.62,1725,1849,0,0,0,,65,43,200,200,0,21,23.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",15-04-2010,11.63,2103,1410,0,0,0,,73,49,100,340,0,21.9,30,,,,,,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",16-04-2010,14.09,1242,910,0.44,0,0,,52,46,110,100,0,23,30,1,,,,1,,,,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",17-04-2010,10.74,1536,1536,0.01,0,0,,55,46,290,290,0,23.9,30,1,,,,,,,1,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",18-04-2010,12.97,1611,1913,0,0,0,,58,44,310,330,0,23.9,29.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",19-04-2010,12.75,1344,1343,0,0,0,,63,47,330,320,0,25.1,32,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",20-04-2010,9.4,1640,1710,0,0,0,,67,48,200,200,0,23,25.9,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",21-04-2010,10.51,1700,1642,0.06,0,0,,64,47,230,230,0,25.1,32,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",22-04-2010,9.62,2119,1438,0.09,0,0,,66,50,340,320,0,23,30,1,,1,,,,1,1,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",23-04-2010,14.76,1719,1523,0,0,0,,69,44,340,310,0,25.1,33.1,,,,,,,,,,,,,,,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",24-04-2010,12.3,1550,1548,0,0,0,,63,48,200,200,0,23,25.9,,,,,1,,,,,,,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",25-04-2010,9.17,1143,1142,1.55,0,0,,52,46,90,100,0,19.9,25.1,1,,1,,1,,,,,,1,,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",26-04-2010,10.07,1815,1917,0.78,0,0,,53,49,100,110,0,17,21,1,,,,1,,,,,,1,1,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",27-04-2010,12.97,1912,1911,0.04,0,0,,60,42,320,320,0,31.1,38,1,,,,1,,,,,,1,1,,1,,,,,
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",28-04-2010,17.67,1640,1304,0,0,0,,57,40,320,330,0,30,40,,,,,,,,,,,,,,,,,,,
